threads, exec_time, speedup
1S,  0.327027 , 1
1,  0.333710 , .979973
2,  0.189982 , 1.721357
3,  0.158305 , 2.065803
4,  0.134357 , 2.434015
5,  0.124472 , 2.627313
6,  0.108604 , 3.011187
7,  0.120068 , 2.723681
8,  0.130879 , 2.498697
9,  0.120832 , 2.706460
10,  0.130240 , 2.510956
11,  0.153202 , 2.134613
12,  0.163785 , 1.996684
13,  0.173135 , 1.888855
14,  0.175949 , 1.858646
15,  0.184966 , 1.768038
16,  0.196166 , 1.667093
