threads, exec_time, speedup
1S,  0.161557 , 1
1,  0.165088 , .978611
2,  0.106652 , 1.514805
3,  0.082840 , 1.950229
4,  0.068950 , 2.343103
5,  0.066369 , 2.434223
6,  0.060957 , 2.650343
7,  0.070891 , 2.278949
8,  0.075509 , 2.139572
9,  0.078708 , 2.052612
10,  0.097989 , 1.648725
11,  0.110966 , 1.455914
12,  0.121199 , 1.332989
13,  0.136695 , 1.181879
14,  0.151463 , 1.066643
15,  0.167772 , .962955
16,  0.176854 , .913504
