threads, exec_time, speedup
1S,  0.013803 , 1
1,  0.012345 , 1.118104
2,  0.007981 , 1.729482
3,  0.007799 , 1.769842
4,  0.006287 , 2.195482
5,  0.006038 , 2.286021
6,  0.005630 , 2.451687
7,  0.005247 , 2.630646
8,  0.006028 , 2.289814
9,  0.006438 , 2.143988
10,  0.006240 , 2.212019
11,  0.006333 , 2.179535
12,  0.008053 , 1.714019
13,  0.008113 , 1.701343
14,  0.007102 , 1.943537
15,  0.006727 , 2.051880
16,  0.006862 , 2.011512
