threads, exec_time, speedup
1S,  59.271575 , 1
1,  59.461282 , .996809
2,  31.513799 , 1.880813
3,  21.757119 , 2.724238
4,  17.260343 , 3.433974
5,  15.146315 , 3.913267
6,  12.882118 , 4.601073
7,  12.008269 , 4.935896
8,  11.533965 , 5.138872
9,  11.668748 , 5.079514
10,  12.011501 , 4.934568
11,  12.756174 , 4.646500
12,  12.653597 , 4.684168
13,  13.674966 , 4.334312
14,  14.484824 , 4.091977
15,  14.853601 , 3.990384
16,  15.696869 , 3.776012
