threads, exec_time, speedup
1S,  0.028722 , 1
1,  0.031101 , .923507
2,  0.020222 , 1.420334
3,  0.015796 , 1.818308
4,  0.014769 , 1.944749
5,  0.014266 , 2.013318
6,  0.016997 , 1.689827
7,  0.018561 , 1.547438
8,  0.018962 , 1.514713
9,  0.023147 , 1.240851
10,  0.021447 , 1.339208
11,  0.026548 , 1.081889
12,  0.028464 , 1.009064
13,  0.030767 , .933532
14,  0.032907 , .872823
15,  0.038138 , .753107
16,  0.040910 , .702077
