threads, exec_time, speedup
1S,  2.737972 , 1
1,  2.754142 , .994128
2,  1.621348 , 1.688701
3,  1.177353 , 2.325531
4,  1.037934 , 2.637905
5,  0.853943 , 3.206270
6,  0.829791 , 3.299592
7,  0.765215 , 3.578042
8,  0.732906 , 3.735775
9,  0.703063 , 3.894348
10,  0.802966 , 3.409823
11,  0.858147 , 3.190562
12,  0.932412 , 2.936440
13,  0.959064 , 2.854837
14,  1.056004 , 2.592766
15,  1.041226 , 2.629565
16,  1.080044 , 2.535055
