threads, exec_time, speedup
1S,  0.562499 , 1
1,  0.565863 , .994055
2,  0.322363 , 1.744924
3,  0.231739 , 2.427295
4,  0.201163 , 2.796234
5,  0.172350 , 3.263701
6,  0.166219 , 3.384083
7,  0.172655 , 3.257936
8,  0.165611 , 3.396507
9,  0.180647 , 3.113802
10,  0.195887 , 2.871548
11,  0.216957 , 2.592675
12,  0.244900 , 2.296851
13,  0.260374 , 2.160350
14,  0.308829 , 1.821393
15,  0.311670 , 1.804790
16,  0.331821 , 1.695188
