threads, exec_time, speedup
1S,  0.025412 , 1
1,  0.025011 , 1.016032
2,  0.016748 , 1.517315
3,  0.012295 , 2.066856
4,  0.011089 , 2.291640
5,  0.012159 , 2.089974
6,  0.011919 , 2.132058
7,  0.012653 , 2.008377
8,  0.016269 , 1.561989
9,  0.014417 , 1.762641
10,  0.014578 , 1.743174
11,  0.016471 , 1.542832
12,  0.016741 , 1.517949
13,  0.017272 , 1.471283
14,  0.021302 , 1.192939
15,  0.021455 , 1.184432
16,  0.025884 , .981764
