threads, exec_time, speedup
1S,  0.017676 , 1
1,  0.019418 , .910289
2,  0.012124 , 1.457934
3,  0.009344 , 1.891695
4,  0.009128 , 1.936459
5,  0.010396 , 1.700269
6,  0.011450 , 1.543755
7,  0.010516 , 1.680867
8,  0.011865 , 1.489759
9,  0.012686 , 1.393346
10,  0.014213 , 1.243650
11,  0.014863 , 1.189261
12,  0.018743 , .943072
13,  0.021164 , .835191
14,  0.019500 , .906461
15,  0.019395 , .911368
16,  0.020797 , .849930
