threads, exec_time, speedup
1S,  0.041775 , 1
1,  0.043719 , .955534
2,  0.029190 , 1.431140
3,  0.022457 , 1.860221
4,  0.019527 , 2.139345
5,  0.020078 , 2.080635
6,  0.024727 , 1.689448
7,  0.021058 , 1.983806
8,  0.023170 , 1.802977
9,  0.025096 , 1.664607
10,  0.024704 , 1.691021
11,  0.026628 , 1.568837
12,  0.029027 , 1.439177
13,  0.036038 , 1.159193
14,  0.037119 , 1.125434
15,  0.036631 , 1.140427
16,  0.044517 , .938405
